"","No.","Time","Source","Destination","Protocol","Length","Info"
"149000",149000,405.53,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/218/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149001",149001,405.53,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/219/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149002",149002,405.53,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/220/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149003",149003,405.58,"192.168.228.1","224.0.0.10","EIGRP",78,"Hello"
"149004",149004,405.59,"192.168.202.97","192.168.202.255","NBNS",96,"Name query NB ISATAP<00>"
"149005",149005,405.67,"192.168.217.1","224.0.0.10","EIGRP",78,"Hello"
"149006",149006,405.82,"192.168.202.76","65.55.223.28","TCP",70,"52028 > 443 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1"
"149007",149007,405.87,"192.168.202.1","224.0.0.10","EIGRP",78,"Hello"
"149008",149008,405.91,"192.168.212.1","224.0.0.10","EIGRP",78,"Hello"
"149009",149009,406.12,"192.168.220.1","224.0.0.10","EIGRP",78,"Hello"
"149010",149010,406.16,"192.168.202.76","157.56.52.25","TCP",70,"[TCP Retransmission] 52024 > 40009 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1"
"149011",149011,406.16,"192.168.202.1","192.168.202.76","ICMP",74,"Destination unreachable (Host unreachable)"
"149012",149012,406.24,"192.168.215.1","224.0.0.10","EIGRP",78,"Hello"
"149013",149013,406.27,"192.168.202.76","111.221.74.26","TCP",70,"52029 > 40008 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1"
"149014",149014,406.28,"192.168.202.76","111.221.77.155","TCP",70,"[TCP Retransmission] 52025 > 80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1"
"149015",149015,406.37,"Cisco-Li_90:f2:11","Spanning-tree-(for-bridges)_00","STP",60,"RST. Root = 32768/0/00:18:f8:90:f1:e0  Cost = 0  Port = 0x8031"
"149016",149016,406.39,"192.168.202.76","157.56.52.25","TCP",70,"52030 > 80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1"
"149017",149017,406.46,"192.168.219.1","224.0.0.10","EIGRP",78,"Hello"
"149018",149018,406.6,"192.168.202.76","192.168.202.255","NBNS",96,"Name query NB WPAD<00>"
"149019",149019,406.64,"CiscoInc_9d:f2:8d","CiscoInc_9d:f2:8d","LOOP",60,"Reply"
"149020",149020,406.67,"192.168.202.97","192.168.202.255","NBNS",96,"Name query NB ISATAP<00>"
"149021",149021,406.92,"192.168.205.1","224.0.0.10","EIGRP",78,"Hello"
"149022",149022,406.99,"192.168.202.76","157.56.52.14","TCP",66,"[TCP Retransmission] 52012 > 40039 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 SACK_PERM=1"
"149023",149023,406.99,"192.168.202.1","192.168.202.76","ICMP",74,"Destination unreachable (Host unreachable)"
"149024",149024,407.08,"192.168.216.1","224.0.0.10","EIGRP",78,"Hello"
"149025",149025,407.08,"192.168.203.1","224.0.0.10","EIGRP",78,"Hello"
"149026",149026,407.21,"192.168.202.76","65.55.223.28","TCP",70,"[TCP Retransmission] 52026 > 40045 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1"
"149027",149027,407.22,"192.168.201.1","224.0.0.10","EIGRP",78,"Hello"
"149028",149028,407.3,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/110/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149029",149029,407.3,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/120/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149030",149030,407.3,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/130/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149031",149031,407.31,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/140/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149032",149032,407.31,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/150/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149033",149033,407.32,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/160/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149034",149034,407.32,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/170/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149035",149035,407.34,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/180/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149036",149036,407.35,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/270/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149037",149037,407.35,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/280/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149038",149038,407.36,"192.168.202.76","192.168.202.255","NBNS",96,"Name query NB WPAD<00>"
"149039",149039,407.43,"192.168.202.97","192.168.202.255","NBNS",96,"Name query NB ISATAP<00>"
"149040",149040,407.44,"192.168.202.76","65.55.223.28","TCP",70,"52031 > 80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1"
"149041",149041,407.47,"192.168.207.1","224.0.0.10","EIGRP",78,"Hello"
"149042",149042,407.52,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/290/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149043",149043,407.52,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/211/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149044",149044,407.52,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/212/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
